"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2021 00:30 - 02.01.2021 00:45","42183","42711"
"02.01.2021 00:45 - 02.01.2021 01:00","41759","42308"
"02.01.2021 01:00 - 02.01.2021 01:15","41588","41776"
"02.01.2021 01:15 - 02.01.2021 01:30","41236","41376"
"02.01.2021 01:30 - 02.01.2021 01:45","41091","41019"
"02.01.2021 01:45 - 02.01.2021 02:00","40946","40642"
"02.01.2021 02:00 - 02.01.2021 02:15","40626","40382"
"02.01.2021 02:15 - 02.01.2021 02:30","40449","40260"
"02.01.2021 02:30 - 02.01.2021 02:45","40466","40142"
"02.01.2021 02:45 - 02.01.2021 03:00","40316","40122"
"02.01.2021 03:00 - 02.01.2021 03:15","40220","39941"
"02.01.2021 03:15 - 02.01.2021 03:30","40274","39970"
"02.01.2021 03:30 - 02.01.2021 03:45","40283","40223"
"02.01.2021 03:45 - 02.01.2021 04:00","40319","40248"
"02.01.2021 04:00 - 02.01.2021 04:15","40262","40543"
"02.01.2021 04:15 - 02.01.2021 04:30","40140","40701"
"02.01.2021 04:30 - 02.01.2021 04:45","40384","40843"
"02.01.2021 04:45 - 02.01.2021 05:00","40279","40889"
"02.01.2021 05:00 - 02.01.2021 05:15","40336","41156"
"02.01.2021 05:15 - 02.01.2021 05:30","40491","40929"
"02.01.2021 05:30 - 02.01.2021 05:45","40706","41126"
"02.01.2021 05:45 - 02.01.2021 06:00","41042","41455"
"02.01.2021 06:00 - 02.01.2021 06:15","41264","41938"
"02.01.2021 06:15 - 02.01.2021 06:30","41753","42197"
"02.01.2021 06:30 - 02.01.2021 06:45","41964","42535"
"02.01.2021 06:45 - 02.01.2021 07:00","42603","42741"
"02.01.2021 07:00 - 02.01.2021 07:15","43294","43403"
"02.01.2021 07:15 - 02.01.2021 07:30","43708","43887"
"02.01.2021 07:30 - 02.01.2021 07:45","44633","44262"
"02.01.2021 07:45 - 02.01.2021 08:00","45654","44837"
"02.01.2021 08:00 - 02.01.2021 08:15","46735","45347"
"02.01.2021 08:15 - 02.01.2021 08:30","47532","46060"
"02.01.2021 08:30 - 02.01.2021 08:45","48013","46500"
"02.01.2021 08:45 - 02.01.2021 09:00","48649","47180"
"02.01.2021 09:00 - 02.01.2021 09:15","49758","48176"
"02.01.2021 09:15 - 02.01.2021 09:30","50721","48963"
"02.01.2021 09:30 - 02.01.2021 09:45","51322","49575"
"02.01.2021 09:45 - 02.01.2021 10:00","51836","50089"
"02.01.2021 10:00 - 02.01.2021 10:15","52508","50698"
"02.01.2021 10:15 - 02.01.2021 10:30","52825","51324"
"02.01.2021 10:30 - 02.01.2021 10:45","53133","51914"
"02.01.2021 10:45 - 02.01.2021 11:00","53451","52230"
"02.01.2021 11:00 - 02.01.2021 11:15","53699","52860"
"02.01.2021 11:15 - 02.01.2021 11:30","54289","53484"
"02.01.2021 11:30 - 02.01.2021 11:45","54410","53832"
"02.01.2021 11:45 - 02.01.2021 12:00","54424","54035"
"02.01.2021 12:00 - 02.01.2021 12:15","54118","54590"
"02.01.2021 12:15 - 02.01.2021 12:30","54028","54584"
"02.01.2021 12:30 - 02.01.2021 12:45","53633","54560"
"02.01.2021 12:45 - 02.01.2021 13:00","53403","54311"
"02.01.2021 13:00 - 02.01.2021 13:15","53102","54083"
"02.01.2021 13:15 - 02.01.2021 13:30","52849","53750"
"02.01.2021 13:30 - 02.01.2021 13:45","52835","53491"
"02.01.2021 13:45 - 02.01.2021 14:00","52136","53188"
"02.01.2021 14:00 - 02.01.2021 14:15","52057","52819"
"02.01.2021 14:15 - 02.01.2021 14:30","52046","52634"
"02.01.2021 14:30 - 02.01.2021 14:45","51869","52577"
"02.01.2021 14:45 - 02.01.2021 15:00","51761","52347"
"02.01.2021 15:00 - 02.01.2021 15:15","51765","52531"
"02.01.2021 15:15 - 02.01.2021 15:30","51674","52655"
"02.01.2021 15:30 - 02.01.2021 15:45","51897","52816"
"02.01.2021 15:45 - 02.01.2021 16:00","52114","52823"
"02.01.2021 16:00 - 02.01.2021 16:15","52422","53418"
"02.01.2021 16:15 - 02.01.2021 16:30","52949","53976"
"02.01.2021 16:30 - 02.01.2021 16:45","53646","54916"
"02.01.2021 16:45 - 02.01.2021 17:00","54554","55743"
"02.01.2021 17:00 - 02.01.2021 17:15","55583","56836"
"02.01.2021 17:15 - 02.01.2021 17:30","56152","57314"
"02.01.2021 17:30 - 02.01.2021 17:45","56591","57939"
"02.01.2021 17:45 - 02.01.2021 18:00","57003","58093"
"02.01.2021 18:00 - 02.01.2021 18:15","57150","58077"
"02.01.2021 18:15 - 02.01.2021 18:30","56617","58039"
"02.01.2021 18:30 - 02.01.2021 18:45","56444","57784"
"02.01.2021 18:45 - 02.01.2021 19:00","55990","57390"
"02.01.2021 19:00 - 02.01.2021 19:15","55705","56785"
"02.01.2021 19:15 - 02.01.2021 19:30","55133","56425"
"02.01.2021 19:30 - 02.01.2021 19:45","54460","55849"
"02.01.2021 19:45 - 02.01.2021 20:00","53975","55105"
"02.01.2021 20:00 - 02.01.2021 20:15","53187","53958"
"02.01.2021 20:15 - 02.01.2021 20:30","51861","52987"
"02.01.2021 20:30 - 02.01.2021 20:45","50791","52236"
"02.01.2021 20:45 - 02.01.2021 21:00","50176","51365"
"02.01.2021 21:00 - 02.01.2021 21:15","49889","50945"
"02.01.2021 21:15 - 02.01.2021 21:30","49199","50474"
"02.01.2021 21:30 - 02.01.2021 21:45","48785","50012"
"02.01.2021 21:45 - 02.01.2021 22:00","48422","49729"
"02.01.2021 22:00 - 02.01.2021 22:15","48897","50322"
"02.01.2021 22:15 - 02.01.2021 22:30","48335","49809"
"02.01.2021 22:30 - 02.01.2021 22:45","47729","49103"
"02.01.2021 22:45 - 02.01.2021 23:00","47017","48628"
"02.01.2021 23:00 - 02.01.2021 23:15","46125","48281"
"02.01.2021 23:15 - 02.01.2021 23:30","45511","47710"
"02.01.2021 23:30 - 02.01.2021 23:45","44808","47410"
"02.01.2021 23:45 - 03.01.2021 00:00","44239","46844"
"03.01.2021 00:00 - 03.01.2021 00:15","42897","45587"
"03.01.2021 00:15 - 03.01.2021 00:30","42320","44792"
"03.01.2021 00:30 - 03.01.2021 00:45","41790","44250"
"03.01.2021 00:45 - 03.01.2021 01:00","41428","43780"
"03.01.2021 01:00 - 03.01.2021 01:15","40761","43330"
"03.01.2021 01:15 - 03.01.2021 01:30","40220","42726"
"03.01.2021 01:30 - 03.01.2021 01:45","39668","42258"
"03.01.2021 01:45 - 03.01.2021 02:00","39313","42027"
"03.01.2021 02:00 - 03.01.2021 02:15","39420","41733"
"03.01.2021 02:15 - 03.01.2021 02:30","39270","41497"
"03.01.2021 02:30 - 03.01.2021 02:45","38943","41315"
"03.01.2021 02:45 - 03.01.2021 03:00","38858","41317"
"03.01.2021 03:00 - 03.01.2021 03:15","38836","41410"
"03.01.2021 03:15 - 03.01.2021 03:30","38936","41510"
"03.01.2021 03:30 - 03.01.2021 03:45","38625","41636"
"03.01.2021 03:45 - 03.01.2021 04:00","38758","41653"
"03.01.2021 04:00 - 03.01.2021 04:15","38667","41942"
"03.01.2021 04:15 - 03.01.2021 04:30","38668","41951"
"03.01.2021 04:30 - 03.01.2021 04:45","38597","42077"
"03.01.2021 04:45 - 03.01.2021 05:00","38592","42263"
"03.01.2021 05:00 - 03.01.2021 05:15","38608","42765"
"03.01.2021 05:15 - 03.01.2021 05:30","38271","42636"
"03.01.2021 05:30 - 03.01.2021 05:45","38285","42718"
"03.01.2021 05:45 - 03.01.2021 06:00","37911","42475"
"03.01.2021 06:00 - 03.01.2021 06:15","37691","42264"
"03.01.2021 06:15 - 03.01.2021 06:30","37534","42482"
"03.01.2021 06:30 - 03.01.2021 06:45","37843","42707"
"03.01.2021 06:45 - 03.01.2021 07:00","37761","42991"
"03.01.2021 07:00 - 03.01.2021 07:15","38056","43386"
"03.01.2021 07:15 - 03.01.2021 07:30","38361","43501"
"03.01.2021 07:30 - 03.01.2021 07:45","38754","43947"
"03.01.2021 07:45 - 03.01.2021 08:00","39470","44705"
"03.01.2021 08:00 - 03.01.2021 08:15","40259","45708"
"03.01.2021 08:15 - 03.01.2021 08:30","40738","46504"
"03.01.2021 08:30 - 03.01.2021 08:45","41533","46937"
"03.01.2021 08:45 - 03.01.2021 09:00","42414","47756"
"03.01.2021 09:00 - 03.01.2021 09:15","43176","48815"
"03.01.2021 09:15 - 03.01.2021 09:30","44244","49723"
"03.01.2021 09:30 - 03.01.2021 09:45","44984","50568"
"03.01.2021 09:45 - 03.01.2021 10:00","45365","51184"
"03.01.2021 10:00 - 03.01.2021 10:15","46346","51705"
"03.01.2021 10:15 - 03.01.2021 10:30","47337","52582"
"03.01.2021 10:30 - 03.01.2021 10:45","47767","53230"
"03.01.2021 10:45 - 03.01.2021 11:00","48236","53944"
"03.01.2021 11:00 - 03.01.2021 11:15","48978","55122"
"03.01.2021 11:15 - 03.01.2021 11:30","49882","55901"
"03.01.2021 11:30 - 03.01.2021 11:45","50353","56657"
"03.01.2021 11:45 - 03.01.2021 12:00","50539","56964"
"03.01.2021 12:00 - 03.01.2021 12:15","50748","56967"
"03.01.2021 12:15 - 03.01.2021 12:30","50702","56831"
"03.01.2021 12:30 - 03.01.2021 12:45","50100","56703"
"03.01.2021 12:45 - 03.01.2021 13:00","49639","56452"
"03.01.2021 13:00 - 03.01.2021 13:15","49467","56228"
"03.01.2021 13:15 - 03.01.2021 13:30","49282","56082"
"03.01.2021 13:30 - 03.01.2021 13:45","48884","55786"
"03.01.2021 13:45 - 03.01.2021 14:00","48204","55364"
"03.01.2021 14:00 - 03.01.2021 14:15","47845","54882"
"03.01.2021 14:15 - 03.01.2021 14:30","47595","54601"
"03.01.2021 14:30 - 03.01.2021 14:45","47189","54671"
"03.01.2021 14:45 - 03.01.2021 15:00","47367","54544"
"03.01.2021 15:00 - 03.01.2021 15:15","47087","55083"
"03.01.2021 15:15 - 03.01.2021 15:30","47161","54963"
"03.01.2021 15:30 - 03.01.2021 15:45","47200","55099"
"03.01.2021 15:45 - 03.01.2021 16:00","47371","55048"
"03.01.2021 16:00 - 03.01.2021 16:15","47390","55145"
"03.01.2021 16:15 - 03.01.2021 16:30","47978","55947"
"03.01.2021 16:30 - 03.01.2021 16:45","48890","56794"
"03.01.2021 16:45 - 03.01.2021 17:00","49910","57563"
"03.01.2021 17:00 - 03.01.2021 17:15","50974","58728"
"03.01.2021 17:15 - 03.01.2021 17:30","51756","59624"
"03.01.2021 17:30 - 03.01.2021 17:45","52602","59832"
"03.01.2021 17:45 - 03.01.2021 18:00","52858","59744"
"03.01.2021 18:00 - 03.01.2021 18:15","53380","59729"
"03.01.2021 18:15 - 03.01.2021 18:30","53111","59671"
"03.01.2021 18:30 - 03.01.2021 18:45","53049","59171"
"03.01.2021 18:45 - 03.01.2021 19:00","52811","58814"
"03.01.2021 19:00 - 03.01.2021 19:15","52758","58261"
"03.01.2021 19:15 - 03.01.2021 19:30","52196","57766"
"03.01.2021 19:30 - 03.01.2021 19:45","51903","57164"
"03.01.2021 19:45 - 03.01.2021 20:00","51476","56721"
"03.01.2021 20:00 - 03.01.2021 20:15","51212","56352"
"03.01.2021 20:15 - 03.01.2021 20:30","50353","55542"
"03.01.2021 20:30 - 03.01.2021 20:45","49596","54783"
"03.01.2021 20:45 - 03.01.2021 21:00","48884","53845"
"03.01.2021 21:00 - 03.01.2021 21:15","48608","53936"
"03.01.2021 21:15 - 03.01.2021 21:30","48252","53691"
"03.01.2021 21:30 - 03.01.2021 21:45","47675","53401"
"03.01.2021 21:45 - 03.01.2021 22:00","47996","53227"
"03.01.2021 22:00 - 03.01.2021 22:15","48571","53486"
"03.01.2021 22:15 - 03.01.2021 22:30","48152","53152"
"03.01.2021 22:30 - 03.01.2021 22:45","47587","52262"
"03.01.2021 22:45 - 03.01.2021 23:00","46699","51442"
"03.01.2021 23:00 - 03.01.2021 23:15","46098","51286"
"03.01.2021 23:15 - 03.01.2021 23:30","45389","50572"
"03.01.2021 23:30 - 03.01.2021 23:45","44563","49776"
"03.01.2021 23:45 - 04.01.2021 00:00","44061","49213"
"04.01.2021 00:00 - 04.01.2021 00:15","44383","48478"
"04.01.2021 00:15 - 04.01.2021 00:30","43581","48014"
"04.01.2021 00:30 - 04.01.2021 00:45","43247","47492"
"04.01.2021 00:45 - 04.01.2021 01:00","42774","47109"
"04.01.2021 01:00 - 04.01.2021 01:15","42058","46529"
"04.01.2021 01:15 - 04.01.2021 01:30","41517","46095"
"04.01.2021 01:30 - 04.01.2021 01:45","41353","46098"
"04.01.2021 01:45 - 04.01.2021 02:00","40952","45942"
"04.01.2021 02:00 - 04.01.2021 02:15","40834","46067"
"04.01.2021 02:15 - 04.01.2021 02:30","40777","46010"
"04.01.2021 02:30 - 04.01.2021 02:45","40730","45971"
"04.01.2021 02:45 - 04.01.2021 03:00","40618","45840"
"04.01.2021 03:00 - 04.01.2021 03:15","40639","45766"
"04.01.2021 03:15 - 04.01.2021 03:30","41100","45798"
"04.01.2021 03:30 - 04.01.2021 03:45","40884","45875"
"04.01.2021 03:45 - 04.01.2021 04:00","41219","46032"
"04.01.2021 04:00 - 04.01.2021 04:15","41865","46540"
"04.01.2021 04:15 - 04.01.2021 04:30","42240","46805"
"04.01.2021 04:30 - 04.01.2021 04:45","42549","47320"
"04.01.2021 04:45 - 04.01.2021 05:00","42848","47734"
"04.01.2021 05:00 - 04.01.2021 05:15","43291","48523"
"04.01.2021 05:15 - 04.01.2021 05:30","43898","49101"
"04.01.2021 05:30 - 04.01.2021 05:45","44561","49939"
"04.01.2021 05:45 - 04.01.2021 06:00","45307","51012"
"04.01.2021 06:00 - 04.01.2021 06:15","46883","52972"
"04.01.2021 06:15 - 04.01.2021 06:30","48462","54468"
"04.01.2021 06:30 - 04.01.2021 06:45","49335","55904"
"04.01.2021 06:45 - 04.01.2021 07:00","50213","57544"
"04.01.2021 07:00 - 04.01.2021 07:15","51274","60065"
"04.01.2021 07:15 - 04.01.2021 07:30","52472","61070"
"04.01.2021 07:30 - 04.01.2021 07:45","53763","61952"
"04.01.2021 07:45 - 04.01.2021 08:00","54651","62580"
"04.01.2021 08:00 - 04.01.2021 08:15","56000","64128"
"04.01.2021 08:15 - 04.01.2021 08:30","56894","64738"
"04.01.2021 08:30 - 04.01.2021 08:45","57120","65263"
"04.01.2021 08:45 - 04.01.2021 09:00","57554","65856"
"04.01.2021 09:00 - 04.01.2021 09:15","57976","66212"
"04.01.2021 09:15 - 04.01.2021 09:30","58653","66708"
"04.01.2021 09:30 - 04.01.2021 09:45","59150","67147"
"04.01.2021 09:45 - 04.01.2021 10:00","59486","67593"
"04.01.2021 10:00 - 04.01.2021 10:15","59856","67653"
"04.01.2021 10:15 - 04.01.2021 10:30","60160","68021"
"04.01.2021 10:30 - 04.01.2021 10:45","60806","68322"
"04.01.2021 10:45 - 04.01.2021 11:00","61654","68741"
"04.01.2021 11:00 - 04.01.2021 11:15","61858","69371"
"04.01.2021 11:15 - 04.01.2021 11:30","62359","69965"
"04.01.2021 11:30 - 04.01.2021 11:45","62795","70392"
"04.01.2021 11:45 - 04.01.2021 12:00","62677","70668"
"04.01.2021 12:00 - 04.01.2021 12:15","62309","70715"
